gene name,description,gene id,protein id,GO general category
DDX39A,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A [Source:HGNC Symbol;Acc:17821],ENSG00000123136,ENSP00000242776,"GO:0005524,GO:0003676,GO:0008026,GO:0003677,GO:0016787,GO:0005515,GO:0004386,GO:0005634,GO:0005737,GO:0000398,GO:0006406"
DDX39B,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:HGNC Symbol;Acc:13917],ENSG00000237889,ENSP00000406348,"GO:0005524,GO:0003676,GO:0003677,GO:0008026,GO:0016787,GO:0004386,GO:0005515,GO:0043008,GO:0017070,GO:0004004,GO:0008186,GO:0030621,GO:0005634,GO:0005737,GO:0005681,GO:0016607,GO:0000346,GO:0005687,GO:0005688,GO:0008380,GO:0000398,GO:0006406,GO:0000245,GO:0032786,GO:0010501,GO:2000002,GO:0046784"
DHX37,DEAH (Asp-Glu-Ala-His) box polypeptide 37 [Source:HGNC Symbol;Acc:17210],ENSG00000150990,ENSP00000311135,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0006810"
ZNF346,zinc finger protein 346 [Source:HGNC Symbol;Acc:16403],ENSG00000113761,ENSP00000350869,"GO:0005515,GO:0008270,GO:0003676,GO:0003725,GO:0005634,GO:0005737,GO:0005730,GO:0006915,GO:0046872,GO:0043065"
MRPL50,mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:16654],ENSG00000136897,ENSP00000443844,"GO:0005739,GO:0005840"
RNASE1,"ribonuclease, RNase A family, 1 (pancreatic) [Source:HGNC Symbol;Acc:10044]",ENSG00000129538,ENSP00000344193,"GO:0005515,GO:0003676,GO:0016892,GO:0004522,GO:0005576"
RNASE2,"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) [Source:HGNC Symbol;Acc:10045]",ENSG00000169385,ENSP00000303276,"GO:0003676,GO:0004540,GO:0004522,GO:0005576,GO:0005764,GO:0006935,GO:0006401"
RNASE3,"ribonuclease, RNase A family, 3 [Source:HGNC Symbol;Acc:10046]",ENSG00000169397,ENSP00000302324,"GO:0003676,GO:0004540,GO:0016892,GO:0005576,GO:0042742,GO:0006401"
RNASE4,"ribonuclease, RNase A family, 4 [Source:HGNC Symbol;Acc:10047]",ENSG00000258818,ENSP00000307096,"GO:0003676,GO:0004522,GO:0005576,GO:0006379"
RNASE6,"ribonuclease, RNase A family, k6 [Source:HGNC Symbol;Acc:10048]",ENSG00000169413,ENSP00000302046,"GO:0003676,GO:0004540,GO:0016892,GO:0005576,GO:0006952,GO:0006401"
RNASE7,"ribonuclease, RNase A family, 7 [Source:HGNC Symbol;Acc:19278]",ENSG00000165799,ENSP00000298690,"GO:0003676,GO:0004540,GO:0016892,GO:0005576,GO:0045087,GO:0042742,GO:0009617"
RNASE8,"ribonuclease, RNase A family, 8 [Source:HGNC Symbol;Acc:19277]",ENSG00000173431,ENSP00000311398,"GO:0003676,GO:0004522,GO:0005576"
ANG,"angiogenin, ribonuclease, RNase A family, 5 [Source:HGNC Symbol;Acc:483]",ENSG00000214274,ENSP00000336762,"GO:0005515,GO:0003677,GO:0004519,GO:0008201,GO:0003779,GO:0005507,GO:0005102,GO:0042277,GO:0019843,GO:0004540,GO:0016892,GO:0005634,GO:0005615,GO:0005730,GO:0043025,GO:0030426,GO:0005605,GO:0032311,GO:0001890,GO:0007154,GO:0001525,GO:0001666,GO:0001938,GO:0001541,GO:0001556,GO:0009725,GO:0048662,GO:0016477,GO:0030041,GO:0008219,GO:0017148,GO:0050714,GO:0032148,GO:0009303,GO:0007202,GO:0042592,GO:0042327,GO:0006651,GO:0032431"
DYNC1H1,"dynein, cytoplasmic 1, heavy chain 1 [Source:HGNC Symbol;Acc:2961]",ENSG00000197102,ENSP00000348965,"GO:0005515,GO:0000166,GO:0005524,GO:0016887,GO:0017111,GO:0042623,GO:0003777,GO:0005737,GO:0005829,GO:0005794,GO:0005874,GO:0005813,GO:0070062,GO:0005868,GO:0030286,GO:0034063,GO:0033962,GO:0000278,GO:0006810,GO:0000086,GO:0007018,GO:0008219,GO:0019886,GO:0007052"
FTSJ3,FtsJ homolog 3 (E. coli) [Source:HGNC Symbol;Acc:17136],ENSG00000108592,ENSP00000396673,"GO:0008649,GO:0008168,GO:0032259,GO:0005515,GO:0005634,GO:0005730,GO:0006364"
SF3B2,"splicing factor 3b, subunit 2, 145kDa [Source:HGNC Symbol;Acc:10769]",ENSG00000087365,ENSP00000318861,"GO:0003676,GO:0005515,GO:0005634,GO:0005654,GO:0005681,GO:0005689,GO:0071013,GO:0010467,GO:0006397,GO:0008380,GO:0000398,GO:0019048"
CTU2,cytosolic thiouridylase subunit 2 homolog (S. pombe) [Source:HGNC Symbol;Acc:28005],ENSG00000174177,ENSP00000388320,"GO:0005515,GO:0000049,GO:0005737,GO:0005739,GO:0043234,GO:0002098,GO:0034227,GO:0008033"
XPOT,"exportin, tRNA [Source:HGNC Symbol;Acc:12826]",ENSG00000184575,ENSP00000383722,"GO:0005488,GO:0008536,GO:0005634,GO:0006886,GO:0000049,GO:0005737,GO:0005654,GO:0005643,GO:0006409"
RBMXL1,"RNA binding motif protein, X-linked-like 1 [Source:HGNC Symbol;Acc:25073]",ENSG00000213516,ENSP00000318415,"GO:0000166,GO:0003723,GO:0003676,GO:0005634,GO:0030529,GO:0006397,GO:0008380"
RBMXL2,"RNA binding motif protein, X-linked-like 2 [Source:HGNC Symbol;Acc:17886]",ENSG00000170748,ENSP00000304139,"GO:0000166,GO:0003723,GO:0003676,GO:0005634,GO:0030529"
RBMXL3,"RNA binding motif protein, X-linked-like 3 [Source:HGNC Symbol;Acc:26859]",ENSG00000175718,ENSP00000417451,"GO:0000166,GO:0003723,GO:0003676"
RBMY1A1,"RNA binding motif protein, Y-linked, family 1, member A1 [Source:HGNC Symbol;Acc:9912]",ENSG00000234414,ENSP00000303712,"GO:0000166,GO:0005515,GO:0003676,GO:0003729,GO:0005634,GO:0006397,GO:0008380,GO:0000381"
RBMY1B,"RNA binding motif protein, Y-linked, family 1, member B [Source:HGNC Symbol;Acc:23914]",ENSG00000242875,ENSP00000372484,"GO:0000166,GO:0003676,GO:0003723,GO:0005515,GO:0005634,GO:0007283,GO:0006397,GO:0008380,GO:0008584"
RBMY1D,"RNA binding motif protein, Y-linked, family 1, member D [Source:HGNC Symbol;Acc:23915]",ENSG00000244395,ENSP00000399181,"GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0006397,GO:0008380"
RBMY1E,"RNA binding motif protein, Y-linked, family 1, member E [Source:HGNC Symbol;Acc:23916]",ENSG00000242389,ENSP00000372104,"GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0006397,GO:0008380"
RBMY1F,"RNA binding motif protein, Y-linked, family 1, member F [Source:HGNC Symbol;Acc:23974]",ENSG00000169800,ENSP00000406005,"GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0007283,GO:0006397,GO:0008380"
RBMY1J,"RNA binding motif protein, Y-linked, family 1, member J [Source:HGNC Symbol;Acc:23917]",ENSG00000226941,ENSP00000250831,"GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0007283,GO:0006397,GO:0008380"
RBMX,"RNA binding motif protein, X-linked [Source:HGNC Symbol;Acc:9910]",ENSG00000147274,ENSP00000405117,"GO:0003727,GO:0005681,GO:0019013,GO:0045893,GO:0006376,GO:0000166,GO:0003676,GO:0005515,GO:0003723,GO:0001047,GO:0003682,GO:0003729,GO:0005634,GO:0005654,GO:0070062,GO:0005719,GO:0071013,GO:0044530,GO:0045944,GO:0006366,GO:0051260,GO:0010467,GO:0008380,GO:0000381,GO:0000398,GO:0071347,GO:0006509,GO:0048026,GO:0048025"
PPP1R10,"protein phosphatase 1, regulatory subunit 10 [Source:HGNC Symbol;Acc:9284]",ENSG00000235291,ENSP00000389299,"GO:0003677,GO:0005634,GO:0006351,GO:0003723,GO:0046872,GO:0004864,GO:0000785,GO:0072357,GO:0006606,GO:0005515"
PRR3,proline rich 3 [Source:HGNC Symbol;Acc:21149],ENSG00000206491,ENSP00000404669,GO:0046872
DKC1,"dyskeratosis congenita 1, dyskerin [Source:HGNC Symbol;Acc:2890]",ENSG00000130826,ENSP00000358563,"GO:0003723,GO:0009982,GO:0006396,GO:0001522,GO:0009451,GO:0005730,GO:0005515,GO:0003720,GO:0005634,GO:0005737,GO:0005654,GO:0015030,GO:0005697,GO:0008283,GO:0006364,GO:0000723,GO:0007004"
MRPL17,mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:14053],ENSG00000158042,ENSP00000288937,"GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019904,GO:0005739,GO:0005743"
TRA2A,transformer 2 alpha homolog (Drosophila) [Source:HGNC Symbol;Acc:16645],ENSG00000164548,ENSP00000376290,"GO:0000166,GO:0003676,GO:0005634,GO:0005515,GO:0003723,GO:0000398"
TRA2B,transformer 2 beta homolog (Drosophila) [Source:HGNC Symbol;Acc:10781],ENSG00000136527,ENSP00000371626,"GO:0000166,GO:0005515,GO:0003729,GO:0005634,GO:0000381,GO:0000398,GO:0000302,GO:0048026,GO:0000375,GO:0003676"
RPL26L1,ribosomal protein L26-like 1 [Source:HGNC Symbol;Acc:17050],ENSG00000037241,ENSP00000265100,"GO:0003735,GO:0015934,GO:0006412,GO:0005829,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
RPL26,ribosomal protein L26 [Source:HGNC Symbol;Acc:10327],ENSG00000161970,ENSP00000463784,"GO:0003735,GO:0015934,GO:0006412,GO:0003723,GO:0005829,GO:0022625,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0044267,GO:0006614,GO:0042273,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0005515"
AUH,AU RNA binding protein/enoyl-CoA hydratase [Source:HGNC Symbol;Acc:890] [Type: protein coding Ensembl/Havana merge],ENSG00000148090,ENSP00000364883,"GO:0003824,GO:0008152,GO:0003730,GO:0004300,GO:0004490,GO:0005739,GO:0005759,GO:0044281,GO:0034641,GO:0006402,GO:0009083,GO:0006552,GO:0003723"
EIF3C,"eukaryotic translation initiation factor 3, subunit C [Source:HGNC Symbol;Acc:3279]",ENSG00000184110,ENSP00000378953,"GO:0005515,GO:0003743,GO:0031369,GO:0005829,GO:0005852,GO:0016282,GO:0033290,GO:0006412,GO:0010467,GO:0001731,GO:0006446,GO:0044267,GO:0006413,GO:0005488"
EIF3CL,"eukaryotic translation initiation factor 3, subunit C-like [Source:HGNC Symbol;Acc:26347]",ENSG00000205609,ENSP00000381916,"GO:0005515,GO:0003743,GO:0031369,GO:0005852,GO:0016282,GO:0033290,GO:0001731,GO:0006446,GO:0006413"
SCAF8,SR-related CTD-associated factor 8 [Source:HGNC Symbol;Acc:20959],ENSG00000213079,ENSP00000356154,"GO:0000166,GO:0003723,GO:0003676,GO:0043175,GO:0005634,GO:0005681,GO:0016363,GO:0006397,GO:0008380"
SCAF4,SR-related CTD-associated factor 4 [Source:HGNC Symbol;Acc:19304],ENSG00000156304,ENSP00000286835,"GO:0000166,GO:0003723,GO:0003676,GO:0005634"
EEF2K,eukaryotic elongation factor-2 kinase [Source:HGNC Symbol;Acc:24615],ENSG00000103319,ENSP00000263026,"GO:0005524,GO:0004674,GO:0016772,GO:0006468,GO:0004686,GO:0005509,GO:0004672,GO:0005516,GO:0008135,GO:0005737,GO:0005829,GO:0008286,GO:0046777,GO:0031952,GO:0006414"
RPL6,ribosomal protein L6 [Source:HGNC Symbol;Acc:10362],ENSG00000089009,ENSP00000403172,"GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0003723,GO:0003677,GO:0005829,GO:0022625,GO:0006355,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
MRPL11,mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:14042],ENSG00000174547,ENSP00000415356,"GO:0005515,GO:0003735,GO:0005840,GO:0005761,GO:0006412,GO:0005739"
G3BP1,GTPase activating protein (SH3 domain) binding protein 1 [Source:HGNC Symbol;Acc:30292],ENSG00000145907,ENSP00000348578,"GO:0000166,GO:0003676,GO:0003729,GO:0010494,GO:0090090,GO:0005622,GO:0006810,GO:0005515,GO:0005524,GO:0003677,GO:0004519,GO:0004003,GO:0004004,GO:0005634,GO:0005886,GO:0005737,GO:0005829,GO:0007265"
G3BP2,GTPase activating protein (SH3 domain) binding protein 2 [Source:HGNC Symbol;Acc:30291],ENSG00000138757,ENSP00000352738,"GO:0005622,GO:0006810,GO:0005737,GO:0000166,GO:0003723,GO:0003676,GO:0030159,GO:0051028,GO:0007265,GO:0007253"
MRPS26,mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:14045],ENSG00000125901,ENSP00000369682,"GO:0005739,GO:0005763,GO:0043043,GO:0042769"
SF3B5,"splicing factor 3b, subunit 5, 10kDa [Source:HGNC Symbol;Acc:21083]",ENSG00000169976,ENSP00000356541,"GO:0005634,GO:0005654,GO:0005689,GO:0010467,GO:0008380,GO:0000398"
DHX34,DEAH (Asp-Glu-Ala-His) box polypeptide 34 [Source:HGNC Symbol;Acc:16719],ENSG00000134815,ENSP00000331907,"GO:0003723,GO:0005524,GO:0003676,GO:0008026,GO:0004386"
UTP23,"UTP23, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:28224]",ENSG00000147679,ENSP00000349670,"GO:0005730,GO:0032040,GO:0006364"
SNRNP48,small nuclear ribonucleoprotein 48kDa (U11/U12) [Source:HGNC Symbol;Acc:21368],ENSG00000168566,ENSP00000339834,"GO:0046872,GO:0005634,GO:0005737,GO:0005689,GO:0006397,GO:0008380"
PRPF38B,PRP38 pre-mRNA processing factor 38 (yeast) domain containing B [Source:HGNC Symbol;Acc:25512],ENSG00000134186,ENSP00000359042,"GO:0005681,GO:0006397,GO:0008380"
HEXIM1,hexamethylene bis-acetamide inducible 1 [Source:HGNC Symbol;Acc:24953],ENSG00000186834,ENSP00000328773,"GO:0005515,GO:0004861,GO:0017069,GO:0005634,GO:0005737,GO:0000122,GO:0006351,GO:0007507,GO:0045892,GO:0045736"
HEXIM2,hexamethylene bis-acetamide inducible 2 [Source:HGNC Symbol;Acc:28591],ENSG00000168517,ENSP00000302276,"GO:0005515,GO:0004861,GO:0017069,GO:0005634,GO:0005737,GO:0000122,GO:0006351,GO:0045892,GO:0045736"
SRRM2,serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:16639],ENSG00000167978,ENSP00000458230,"GO:0003723,GO:0047485,GO:0070742,GO:0005634,GO:0016607,GO:0015030,GO:0071013,GO:0000398"
SRRM3,serine/arginine repetitive matrix 3 [Source:HGNC Symbol;Acc:26729],ENSG00000262321,ENSP00000458336,.
PIH1D3,PIH1 domain containing 3 [Source:HGNC Symbol;Acc:28570],ENSG00000080572,ENSP00000337757,.
DHX40,DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:HGNC Symbol;Acc:18018],ENSG00000108406,ENSP00000388749,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0006810"
DHX38,DEAH (Asp-Glu-Ala-His) box polypeptide 38 [Source:HGNC Symbol;Acc:17211],ENSG00000140829,ENSP00000268482,"GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0008026,GO:0005634,GO:0005654,GO:0071013,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0006406,GO:0031124,GO:0006369"
TRMT61B,tRNA methyltransferase 61 homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:26070],ENSG00000171103,ENSP00000302801,"GO:0004719,GO:0016429,GO:0031515,GO:0006464,GO:0030488,GO:0005515,GO:0005739,GO:0051260,GO:0070901"
CSDC2,"cold shock domain containing C2, RNA binding [Source:HGNC Symbol;Acc:30359]",ENSG00000172346,ENSP00000417127,"GO:0003677,GO:0006355,GO:0003723,GO:0003676,GO:0005634,GO:0005737,GO:0006398"
CARHSP1,"calcium regulated heat stable protein 1, 24kDa [Source:HGNC Symbol;Acc:17150]",ENSG00000153048,ENSP00000455855,"GO:0005737,GO:0003677,GO:0006355,GO:0003676,GO:0019902,GO:0003730,GO:0005829,GO:0000932,GO:0000177,GO:0043186,GO:0035556,GO:0043488"
POP4,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae) [Source:HGNC Symbol;Acc:30081] ",ENSG00000105171,ENSP00000465213,"GO:0003723,GO:0004540,GO:0000172,GO:0030677,GO:0006364,GO:0008033,GO:0006379,GO:0005515,GO:0004526,GO:0005655"
LARP6,"La ribonucleoprotein domain family, member 6 [Source:HGNC Symbol;Acc:24012]",ENSG00000166173,ENSP00000299213,"GO:0000166,GO:0003723,GO:0005634,GO:0043231,GO:0005794,GO:0030529,GO:0006417,GO:0006396"
RNPC3,"RNA-binding region (RNP1, RRM) containing 3 [Source:HGNC Symbol;Acc:18666]",ENSG00000185946,ENSP00000391432,"GO:0000166,GO:0003723,GO:0003676,GO:0005634,GO:0005689,GO:0006397,GO:0008380"
RPL30,ribosomal protein L30 [Source:HGNC Symbol;Acc:10333],ENSG00000156482,ENSP00000428085,"GO:0003735,GO:0005737,GO:0005840,GO:0006412,GO:0003723,GO:0005829,GO:0022625,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
RUVBL2,RuvB-like 2 (E. coli) [Source:HGNC Symbol;Acc:10475] [Type: protein coding Ensembl/Havana merge],ENSG00000183207,ENSP00000473172,"GO:0000166,GO:0005524,GO:0017111,GO:0003678,GO:0003684,GO:0043141,GO:0030529,GO:0006281,GO:0006260,GO:0016887,GO:0005515,GO:0051082,GO:0004003,GO:0042802,GO:0005634,GO:0005737,GO:0016020,GO:0005622,GO:0016363,GO:0031011,GO:0071339,GO:0035267,GO:0006351,GO:0006457,GO:0006355,GO:0006200,GO:0006310,GO:0040008,GO:0034644,GO:0032508,GO:0043967,GO:0043968"
DRG1,developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:3029],ENSG00000185721,ENSP00000329715,"GO:0005515,GO:0005525,GO:0008134,GO:0042802,GO:0015093,GO:0016021,GO:0005634,GO:0005737,GO:0045111,GO:0005844,GO:0006351,GO:0007275,GO:0015684"
TRIM25,tripartite motif containing 25 [Source:HGNC Symbol;Acc:12932],ENSG00000121060,ENSP00000323889,"GO:0003700,GO:0005515,GO:0008270,GO:0046872,GO:0004842,GO:0005634,GO:0005737,GO:0005829,GO:0030054,GO:0045087,GO:0006355,GO:0032480,GO:0051607,GO:0019048,GO:0033280,GO:0043627"
RQCD1,RCD1 required for cell differentiation1 homolog (S. pombe) [Source:HGNC Symbol;Acc:10445],ENSG00000144580,ENSP00000273064,"GO:0005488,GO:0005515,GO:0005634,GO:0005829,GO:0000932,GO:0030014,GO:0006351,GO:0006355,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0006417,GO:0031047,GO:0033147,GO:0019221,GO:0007548,GO:2000327"
MRPS18C,mitochondrial ribosomal protein S18C [Source:HGNC Symbol;Acc:16633],ENSG00000163319,ENSP00000295491,"GO:0003735,GO:0005840,GO:0006412,GO:0005622,GO:0005739,GO:0005763"
MRPL45,mitochondrial ribosomal protein L45 [Source:HGNC Symbol;Acc:16651],ENSG00000174100,ENSP00000308901,"GO:0003735,GO:0005739,GO:0005840,GO:0006412"
RPLP2,"ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]",ENSG00000177600,ENSP00000322419,"GO:0003735,GO:0005622,GO:0005840,GO:0006414,GO:0003723,GO:0005829,GO:0022625,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
SRP19,signal recognition particle 19kDa [Source:HGNC Symbol;Acc:11300],ENSG00000153037,ENSP00000424870,"GO:0008312,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0005730,GO:0005786,GO:0006412,GO:0042493,GO:0010467,GO:0006613,GO:0044267,GO:0006614,GO:0048500"
RPS24,ribosomal protein S24 [Source:HGNC Symbol;Acc:10411],ENSG00000138326,ENSP00000415549,"GO:0000166,GO:0003735,GO:0005634,GO:0005737,GO:0005622,GO:0005840,GO:0006412,GO:0031369,GO:0005829,GO:0005730,GO:0022627,GO:0015935,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0044267,GO:0006614,GO:0006414,GO:0034101,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0042274,GO:0000462"
AKAP17A,A kinase (PRKA) anchor protein 17A [Source:HGNC Symbol;Acc:18783],ENSG00000197976,ENSP00000324827,"GO:0000166,GO:0003723,GO:0005515,GO:0051018,GO:0005634,GO:0005681,GO:0016607,GO:0006355,GO:0007165,GO:0006397,GO:0008380,GO:0043484,GO:0042113"
NXT2,nuclear transport factor 2-like export factor 2 [Source:HGNC Symbol;Acc:18151],ENSG00000101888,ENSP00000361178,"GO:0005634,GO:0005737,GO:0005622,GO:0015031,GO:0006810,GO:0051028,GO:0005515"
NXT1,NTF2-like export factor 1 [Source:HGNC Symbol;Acc:15913],ENSG00000132661,ENSP00000254998,"GO:0005515,GO:0008536,GO:0005737,GO:0005622,GO:0005643,GO:0016607,GO:0006611,GO:0006810,GO:0006405"
MRPL9,mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:14277],ENSG00000143436,ENSP00000357823,"GO:0003735,GO:0005739,GO:0005840,GO:0006412,GO:0005761"
RPL27,ribosomal protein L27 [Source:HGNC Symbol;Acc:10328],ENSG00000131469,ENSP00000253788,"GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0005829,GO:0030529,GO:0022625,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:10325],ENSG00000114391,ENSP00000377640,"GO:0005840,GO:0003735,GO:0003723,GO:0022625,GO:0005829,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
CNOT10,"CCR4-NOT transcription complex, subunit 10 [Source:HGNC Symbol;Acc:23817]",ENSG00000182973,ENSP00000399862,"GO:0005515,GO:0005634,GO:0005829,GO:0030014,GO:0006351,GO:0006355,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0006417,GO:0031047"
ABT1,activator of basal transcription 1 [Source:HGNC Symbol;Acc:17369],ENSG00000146109,ENSP00000274849,"GO:0000166,GO:0003723,GO:0005515,GO:0003677,GO:0003713,GO:0005634,GO:0005667,GO:0005730,GO:0006366,GO:0006357,GO:0021522"
DDX25,DEAD (Asp-Glu-Ala-Asp) box helicase 25 [Source:HGNC Symbol;Acc:18698],ENSG00000109832,ENSP00000463333,"GO:0005524,GO:0003676,GO:0004386,GO:0008026,GO:0004004,GO:0003723,GO:0005737,GO:0005634,GO:0033391,GO:0006406,GO:0007286,GO:0006417,GO:0007275"
DDX19A,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A [Source:HGNC Symbol;Acc:25628],ENSG00000168872,ENSP00000399208,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0010043,GO:0003723,GO:0005737,GO:0031965,GO:0005643,GO:0043065,GO:0015031,GO:0051028"
DDX19B,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H3BN59],ENSG00000260537,ENSP00000454699,"GO:0003723,GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0005737,GO:0031965,GO:0005643,GO:0005635,GO:0015031,GO:0006406"
MRPS30,mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:8769],ENSG00000112996,ENSP00000424328,"GO:0003735,GO:0005739,GO:0005840,GO:0006915,GO:0006412"
SMG1,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) [Source:HGNC Symbol;Acc:30045]",ENSG00000157106,ENSP00000402515,"GO:0005488,GO:0005515,GO:0005524,GO:0016301,GO:0016773,GO:0016772,GO:0046872,GO:0004674,GO:0004672,GO:0005634,GO:0005737,GO:0005829,GO:0006281,GO:0046854,GO:0010467,GO:0016070,GO:0016071,GO:0006950,GO:0018105,GO:0046777,GO:0006406,GO:0000184"
EXOSC5,exosome component 5 [Source:HGNC Symbol;Acc:24662],ENSG00000077348,ENSP00000471002,"GO:0003723,GO:0005515,GO:0000175,GO:0005737,GO:0005829,GO:0005730,GO:0000178,GO:0035327,GO:0006401,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0006364,GO:0051607,GO:0043928,GO:0045006"
AIMP2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:20609],ENSG00000106305,ENSP00000223029,"GO:0005634,GO:0008285,GO:0031398,GO:0060510,GO:0005515,GO:0005829,GO:0006915,GO:0010467,GO:0006418"
BZW2,basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:18808],ENSG00000136261,ENSP00000385577,"GO:0005488,GO:0005515,GO:0030154,GO:0007399"
BZW1,basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:18380],ENSG00000082153,ENSP00000395673,"GO:0005515,GO:0005488,GO:0005737,GO:0006351,GO:0006355"
PARS2,"prolyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:30563]",ENSG00000162396,ENSP00000360327,"GO:0000166,GO:0005524,GO:0004812,GO:0004827,GO:0005739,GO:0005759,GO:0010467,GO:0006418,GO:0006433"
INTS12,integrator complex subunit 12 [Source:HGNC Symbol;Acc:25067] [Type: protein coding Ensembl/Havana merge],ENSG00000138785,ENSP00000415433,"GO:0005515,GO:0008270,GO:0032039,GO:0016180"
EIF3H,"eukaryotic translation initiation factor 3, subunit H [Source:HGNC Symbol;Acc:3273]",ENSG00000147677,ENSP00000429931,"GO:0005515,GO:0003743,GO:0005852,GO:0005737,GO:0005829,GO:0016282,GO:0033290,GO:0006412,GO:0010467,GO:0001731,GO:0006446,GO:0044267,GO:0006413"
SKIV2L,superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:10898],ENSG00000223493,ENSP00000412310,"GO:0003723,GO:0005524,GO:0003676,GO:0016817,GO:0008026,GO:0004386,GO:0016818,GO:0004004,GO:0005634,GO:0055087"
RC3H2,ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:21461],ENSG00000056586,ENSP00000411767,"GO:0003723,GO:0005515,GO:0008270,GO:0046872,GO:0003677,GO:0016020,GO:0000932,GO:0009986"
RC3H1,ring finger and CCCH-type domains 1 [Source:HGNC Symbol;Acc:29434],ENSG00000135870,ENSP00000356667,"GO:0005515,GO:0008270,GO:0046872,GO:0004842,GO:0003730,GO:0000932,GO:0010494,GO:0016567,GO:0046007,GO:0030889,GO:0043488,GO:0002634,GO:0033962,GO:0050856,GO:0000956,GO:0002635,GO:0010608,GO:0045623,GO:0005737"
